,Estado,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,et0_fao_evapotranspiration,focuses
615,MARANHÃO,2021/01,29.316129032258065,25.387096774193548,27.016129032258064,140.9,140.9,305.0,4.007096774193548,12.0
616,MARANHÃO,2021/02,28.785714285714285,25.092857142857145,26.603571428571428,278.3,278.3,369.0,3.715357142857143,10.0
617,MARANHÃO,2021/03,28.02258064516129,24.387096774193548,25.90967741935484,366.9,366.9,493.0,3.4116129032258065,1.0
618,MARANHÃO,2021/04,29.11,25.0,26.7,236.5,236.5,391.0,3.7816666666666667,
619,MARANHÃO,2021/05,29.364516129032257,25.29032258064516,27.003225806451614,258.0,258.0,297.0,3.6596774193548387,6.0
620,MARANHÃO,2021/06,28.813333333333333,25.259999999999998,26.676666666666666,202.1,202.1,291.0,3.5133333333333336,12.0
621,MARANHÃO,2021/07,29.051612903225806,25.35483870967742,26.81935483870968,114.4,114.4,225.0,3.7312903225806453,26.0
622,MARANHÃO,2021/08,30.35483870967742,25.861290322580647,27.574193548387097,45.0,45.0,116.0,4.572258064516129,40.0
623,MARANHÃO,2021/09,30.39,25.976666666666667,27.636666666666667,30.7,30.7,103.0,4.943666666666667,36.0
624,MARANHÃO,2021/10,30.425806451612903,26.293548387096774,27.929032258064513,34.3,34.3,124.0,4.9883870967741935,162.0
625,MARANHÃO,2021/11,30.426666666666666,26.133333333333333,27.966666666666665,42.3,42.3,161.0,4.775666666666667,95.0
626,MARANHÃO,2021/12,30.75483870967742,26.348387096774193,28.16774193548387,50.9,50.9,191.0,4.668387096774193,56.0
627,MARANHÃO,2022/01,28.338709677419356,24.75483870967742,26.309677419354838,227.4,227.4,482.0,3.424193548387097,3.0
628,MARANHÃO,2022/02,28.82857142857143,25.142857142857142,26.764285714285712,143.6,143.6,403.0,3.9375,2.0
629,MARANHÃO,2022/03,28.0,24.503225806451614,25.916129032258063,596.5,596.5,604.0,2.959354838709677,
630,MARANHÃO,2022/04,28.33,24.65,26.17,490.1,490.1,554.0,3.1273333333333335,
631,MARANHÃO,2022/05,28.68064516129032,24.93548387096774,26.483870967741936,395.3,395.3,477.0,3.2061290322580644,7.0
632,MARANHÃO,2022/06,29.10666666666667,25.086666666666666,26.759999999999998,154.5,154.5,257.0,3.6863333333333332,12.0
633,MARANHÃO,2022/07,29.903225806451612,25.541935483870965,27.225806451612904,81.3,81.3,233.0,3.983548387096774,52.0
634,MARANHÃO,2022/08,30.796774193548387,25.799999999999997,27.677419354838708,38.8,38.8,163.0,4.651612903225806,76.0
635,MARANHÃO,2022/09,31.07,26.066666666666666,27.903333333333332,14.0,14.0,103.0,5.332333333333334,116.0
636,MARANHÃO,2022/10,31.393548387096775,26.374193548387098,28.187096774193545,13.7,13.7,94.0,5.458387096774194,195.0
637,MARANHÃO,2022/11,29.926666666666666,25.653333333333332,27.426666666666666,73.5,73.5,233.0,4.566,23.0
638,MARANHÃO,2022/12,30.154838709677417,25.729032258064517,27.470967741935485,94.9,94.9,287.0,4.551290322580646,14.0
639,MARANHÃO,2023/01,28.532258064516128,24.76774193548387,26.383870967741935,145.4,145.4,433.0,3.8006451612903227,3.0
640,MARANHÃO,2023/02,28.292857142857144,24.832142857142856,26.317857142857143,271.2,271.2,439.0,3.6182142857142856,1.0
641,MARANHÃO,2023/03,27.970967741935485,24.561290322580643,25.993548387096773,435.8,435.8,561.0,3.2680645161290323,1.0
642,MARANHÃO,2023/04,28.62,24.75,26.363333333333333,391.4,391.4,508.0,3.3273333333333333,
643,MARANHÃO,2023/05,29.495833333333334,25.641666666666666,27.275000000000002,128.4,128.4,333.0,3.7441666666666666,
759,MATO GROSSO,2019/08,33.725806451612904,21.141935483870967,26.825806451612905,0.0,0.0,0.0,5.498064516129032,2710.0
760,MATO GROSSO,2019/09,36.43666666666666,23.413333333333334,29.416666666666668,5.1,5.1,17.0,5.890666666666666,2145.0
761,MATO GROSSO,2019/10,32.35806451612903,22.46451612903226,26.529032258064515,102.1,102.1,141.0,4.77483870967742,347.0
762,MATO GROSSO,2019/11,30.88,22.326666666666664,25.853333333333335,160.7,160.7,199.0,4.487333333333334,178.0
763,MATO GROSSO,2019/12,30.738709677419354,22.438709677419357,25.719354838709677,149.5,149.5,210.0,4.462580645161291,106.0
764,MATO GROSSO,2020/01,29.493548387096773,22.406451612903226,25.316129032258065,156.9,156.9,232.0,3.8619354838709676,71.0
765,MATO GROSSO,2020/02,29.49655172413793,22.306896551724137,25.120689655172413,260.1,260.1,304.0,3.5493103448275862,42.0
766,MATO GROSSO,2020/03,29.54516129032258,22.161290322580644,25.07741935483871,184.1,184.1,248.0,3.673548387096774,56.0
767,MATO GROSSO,2020/04,30.16,22.0,25.39,67.4,67.4,131.0,3.9949999999999997,84.0
768,MATO GROSSO,2020/05,29.57741935483871,19.948387096774194,24.26774193548387,28.3,28.3,30.0,3.862258064516129,237.0
769,MATO GROSSO,2020/06,31.27,20.146666666666665,25.233333333333334,0.2,0.2,1.0,4.354666666666666,553.0
770,MATO GROSSO,2020/07,32.274193548387096,19.70967741935484,25.47741935483871,0.0,0.0,0.0,5.02258064516129,407.0
771,MATO GROSSO,2020/08,34.20645161290323,20.690322580645162,27.04516129032258,0.0,0.0,0.0,5.763870967741935,1740.0
772,MATO GROSSO,2020/09,36.519999999999996,22.706666666666667,29.223333333333336,6.3,6.3,10.0,6.282,2961.0
773,MATO GROSSO,2020/10,34.39677419354839,23.567741935483873,28.299999999999997,106.19999999999999,106.19999999999999,121.0,5.251935483870968,846.0
774,MATO GROSSO,2020/11,30.80666666666667,22.396666666666665,25.826666666666664,103.9,103.9,133.0,4.438666666666666,298.0
775,MATO GROSSO,2020/12,29.483870967741936,22.048387096774192,25.06451612903226,273.8,273.8,284.0,3.94,140.0
