date;class;focuses;uf
2022/02;Vegetacao Secundaria;2;TOCANTINS
2022/03;Desmatamento Consolidado;6;AMAZONAS
2022/03;Desmatamento Consolidado;3;MARANHÃO
2022/03;Desmatamento Consolidado;277;MATO GROSSO
2022/03;Desmatamento Consolidado;19;PARÁ
2022/03;Desmatamento Consolidado;14;RONDÔNIA
2022/03;Desmatamento Consolidado;19;RORAIMA
2022/03;Desmatamento Recente;4;AMAZONAS
2022/03;Desmatamento Recente;39;MATO GROSSO
2022/03;Desmatamento Recente;4;PARÁ
2022/03;Desmatamento Recente;1;RONDÔNIA
2022/03;Desmatamento Recente;29;RORAIMA
2022/03;Floresta;2;AMAZONAS
2022/03;Floresta;7;MATO GROSSO
2022/03;Floresta;2;RONDÔNIA
2022/03;Floresta;14;RORAIMA
2022/03;Outros;1;AMAPÁ
2022/03;Outros;10;MATO GROSSO
2022/03;Outros;8;PARÁ
2022/03;Outros;13;RORAIMA
2022/03;Vegetacao Secundaria;3;AMAZONAS
2022/03;Vegetacao Secundaria;6;MATO GROSSO
2022/03;Vegetacao Secundaria;3;PARÁ
2022/03;Vegetacao Secundaria;6;RORAIMA
2022/04;Desmatamento Consolidado;11;AMAZONAS
2022/04;Desmatamento Consolidado;112;MATO GROSSO
2022/04;Desmatamento Consolidado;17;PARÁ
2022/04;Desmatamento Consolidado;13;RONDÔNIA
2022/04;Desmatamento Consolidado;1;RORAIMA
2022/04;Desmatamento Recente;5;ACRE
2022/04;Desmatamento Recente;1;AMAZONAS
2022/04;Desmatamento Recente;130;MATO GROSSO
2022/04;Desmatamento Recente;10;PARÁ
2022/04;Desmatamento Recente;5;RONDÔNIA
2022/04;Desmatamento Recente;1;RORAIMA
2022/04;Floresta;12;MATO GROSSO
2022/04;Floresta;1;PARÁ
2022/04;Outros;2;AMAPÁ
2022/04;Outros;2;MARANHÃO
2022/04;Outros;21;MATO GROSSO
2022/04;Outros;6;PARÁ
2022/04;Outros;1;RONDÔNIA
2022/04;Outros;5;RORAIMA
2022/04;Vegetacao Secundaria;1;ACRE
2022/04;Vegetacao Secundaria;3;AMAZONAS
2022/04;Vegetacao Secundaria;16;MATO GROSSO
2022/04;Vegetacao Secundaria;3;PARÁ
2022/04;Vegetacao Secundaria;5;RONDÔNIA
2022/05;Desmatamento Consolidado;5;ACRE
2022/05;Desmatamento Consolidado;17;AMAZONAS
2022/05;Desmatamento Consolidado;3;MARANHÃO
2022/05;Desmatamento Consolidado;474;MATO GROSSO
2022/05;Desmatamento Consolidado;121;PARÁ
2022/05;Desmatamento Consolidado;80;RONDÔNIA
2022/05;Desmatamento Consolidado;2;RORAIMA
2022/05;Desmatamento Consolidado;8;TOCANTINS
2022/05;Desmatamento Recente;24;ACRE
2022/05;Desmatamento Recente;6;AMAZONAS
2022/05;Desmatamento Recente;7;MARANHÃO
2022/05;Desmatamento Recente;982;MATO GROSSO
2022/05;Desmatamento Recente;25;PARÁ
2022/05;Desmatamento Recente;46;RONDÔNIA
2022/05;Desmatamento Recente;5;TOCANTINS
2022/05;Floresta;2;ACRE
2022/05;Floresta;5;AMAZONAS
2022/05;Floresta;1;MARANHÃO
2022/05;Floresta;129;MATO GROSSO
2022/05;Floresta;8;PARÁ
2022/05;Floresta;1;RORAIMA
2022/05;Outros;1;AMAPÁ
2022/05;Outros;51;AMAZONAS
2022/05;Outros;3;MARANHÃO
2022/05;Outros;58;MATO GROSSO
2022/05;Outros;51;PARÁ
2022/05;Outros;8;RORAIMA
2022/05;Vegetacao Secundaria;2;ACRE
2022/05;Vegetacao Secundaria;2;AMAZONAS
2022/05;Vegetacao Secundaria;3;MARANHÃO
2022/05;Vegetacao Secundaria;126;MATO GROSSO
2022/05;Vegetacao Secundaria;20;PARÁ
2022/05;Vegetacao Secundaria;10;RONDÔNIA
2022/05;Vegetacao Secundaria;1;TOCANTINS
2022/06;Desmatamento Consolidado;19;ACRE
2022/06;Desmatamento Consolidado;18;AMAZONAS
2022/06;Desmatamento Consolidado;35;MARANHÃO
2022/06;Desmatamento Consolidado;388;MATO GROSSO
2022/06;Desmatamento Consolidado;277;PARÁ
2022/06;Desmatamento Consolidado;50;RONDÔNIA
2022/06;Desmatamento Consolidado;19;TOCANTINS
2022/06;Desmatamento Recente;43;ACRE
2022/06;Desmatamento Recente;22;AMAZONAS
2022/06;Desmatamento Recente;12;MARANHÃO
2022/06;Desmatamento Recente;934;MATO GROSSO
2022/06;Desmatamento Recente;128;PARÁ
2022/06;Desmatamento Recente;40;RONDÔNIA
2022/06;Desmatamento Recente;2;TOCANTINS
2022/06;Floresta;2;ACRE
2022/06;Floresta;9;AMAZONAS
2022/06;Floresta;3;MARANHÃO
2022/06;Floresta;153;MATO GROSSO
2022/06;Floresta;15;PARÁ
2022/06;Floresta;5;RONDÔNIA
2022/06;Outros;1;AMAPÁ
2022/06;Outros;19;AMAZONAS
2022/06;Outros;7;MARANHÃO
2022/06;Outros;92;MATO GROSSO
2022/06;Outros;57;PARÁ
2022/06;Outros;5;RONDÔNIA
2022/06;Outros;9;RORAIMA
2022/06;Outros;1;TOCANTINS
2022/06;Vegetacao Secundaria;7;ACRE
2022/06;Vegetacao Secundaria;14;AMAZONAS
2022/06;Vegetacao Secundaria;4;MARANHÃO
2022/06;Vegetacao Secundaria;85;MATO GROSSO
2022/06;Vegetacao Secundaria;79;PARÁ
2022/06;Vegetacao Secundaria;6;RONDÔNIA
2022/06;Vegetacao Secundaria;2;TOCANTINS
2022/07;Desmatamento Consolidado;55;ACRE
2022/07;Desmatamento Consolidado;216;AMAZONAS
2022/07;Desmatamento Consolidado;61;MARANHÃO
2022/07;Desmatamento Consolidado;292;MATO GROSSO
2022/07;Desmatamento Consolidado;541;PARÁ
2022/07;Desmatamento Consolidado;147;RONDÔNIA
2022/07;Desmatamento Consolidado;1;RORAIMA
2022/07;Desmatamento Consolidado;22;TOCANTINS
2022/07;Desmatamento Recente;217;ACRE
2022/07;Desmatamento Recente;947;AMAZONAS
2022/07;Desmatamento Recente;52;MARANHÃO
2022/07;Desmatamento Recente;655;MATO GROSSO
2022/07;Desmatamento Recente;736;PARÁ
2022/07;Desmatamento Recente;337;RONDÔNIA
2022/07;Desmatamento Recente;5;TOCANTINS
2022/07;Floresta;13;ACRE
2022/07;Floresta;1;AMAPÁ
2022/07;Floresta;151;AMAZONAS
2022/07;Floresta;3;MARANHÃO
2022/07;Floresta;134;MATO GROSSO
2022/07;Floresta;112;PARÁ
2022/07;Floresta;29;RONDÔNIA
2022/07;Floresta;1;RORAIMA
2022/07;Outros;4;AMAPÁ
2022/07;Outros;27;AMAZONAS
2022/07;Outros;3;MARANHÃO
2022/07;Outros;74;MATO GROSSO
2022/07;Outros;113;PARÁ
2022/07;Outros;19;RONDÔNIA
2022/07;Outros;10;RORAIMA
2022/07;Outros;5;TOCANTINS
2022/07;Vegetacao Secundaria;28;ACRE
2022/07;Vegetacao Secundaria;87;AMAZONAS
2022/07;Vegetacao Secundaria;27;MARANHÃO
2022/07;Vegetacao Secundaria;41;MATO GROSSO
2022/07;Vegetacao Secundaria;179;PARÁ
2022/07;Vegetacao Secundaria;23;RONDÔNIA
2022/07;Vegetacao Secundaria;5;TOCANTINS
2022/08;Desmatamento Consolidado;407;ACRE
2022/08;Desmatamento Consolidado;8;AMAPÁ
2022/08;Desmatamento Consolidado;920;AMAZONAS
2022/08;Desmatamento Consolidado;159;MARANHÃO
2022/08;Desmatamento Consolidado;955;MATO GROSSO
2022/08;Desmatamento Consolidado;2815;PARÁ
2022/08;Desmatamento Consolidado;427;RONDÔNIA
2022/08;Desmatamento Consolidado;5;RORAIMA
2022/08;Desmatamento Consolidado;45;TOCANTINS
2022/08;Desmatamento Recente;1795;ACRE
2022/08;Desmatamento Recente;1;AMAPÁ
2022/08;Desmatamento Recente;6122;AMAZONAS
2022/08;Desmatamento Recente;76;MARANHÃO
2022/08;Desmatamento Recente;3592;MATO GROSSO
2022/08;Desmatamento Recente;7803;PARÁ
2022/08;Desmatamento Recente;2687;RONDÔNIA
2022/08;Desmatamento Recente;6;RORAIMA
2022/08;Desmatamento Recente;2;TOCANTINS
2022/08;Floresta;310;ACRE
2022/08;Floresta;16;AMAPÁ
2022/08;Floresta;671;AMAZONAS
2022/08;Floresta;1;MARANHÃO
2022/08;Floresta;1014;MATO GROSSO
2022/08;Floresta;943;PARÁ
2022/08;Floresta;173;RONDÔNIA
2022/08;Floresta;6;RORAIMA
2022/08;Floresta;8;TOCANTINS
2022/08;Outros;12;AMAPÁ
2022/08;Outros;24;AMAZONAS
2022/08;Outros;33;MARANHÃO
2022/08;Outros;151;MATO GROSSO
2022/08;Outros;269;PARÁ
2022/08;Outros;86;RONDÔNIA
2022/08;Outros;18;RORAIMA
2022/08;Outros;10;TOCANTINS
2022/08;Vegetacao Secundaria;126;ACRE
2022/08;Vegetacao Secundaria;379;AMAZONAS
2022/08;Vegetacao Secundaria;35;MARANHÃO
2022/08;Vegetacao Secundaria;216;MATO GROSSO
2022/08;Vegetacao Secundaria;642;PARÁ
2022/08;Vegetacao Secundaria;139;RONDÔNIA
2022/08;Vegetacao Secundaria;5;RORAIMA
2022/08;Vegetacao Secundaria;4;TOCANTINS
2022/09;Desmatamento Consolidado;1006;ACRE
2022/09;Desmatamento Consolidado;37;AMAPÁ
2022/09;Desmatamento Consolidado;1308;AMAZONAS
2022/09;Desmatamento Consolidado;286;MARANHÃO
2022/09;Desmatamento Consolidado;1745;MATO GROSSO
2022/09;Desmatamento Consolidado;3514;PARÁ
2022/09;Desmatamento Consolidado;771;RONDÔNIA
2022/09;Desmatamento Consolidado;13;RORAIMA
2022/09;Desmatamento Consolidado;48;TOCANTINS
2022/09;Desmatamento Recente;4656;ACRE
2022/09;Desmatamento Recente;10;AMAPÁ
2022/09;Desmatamento Recente;5871;AMAZONAS
2022/09;Desmatamento Recente;116;MARANHÃO
2022/09;Desmatamento Recente;3150;MATO GROSSO
2022/09;Desmatamento Recente;6724;PARÁ
2022/09;Desmatamento Recente;3731;RONDÔNIA
2022/09;Desmatamento Recente;45;RORAIMA
2022/09;Desmatamento Recente;4;TOCANTINS
2022/09;Floresta;746;ACRE
2022/09;Floresta;39;AMAPÁ
2022/09;Floresta;903;AMAZONAS
2022/09;Floresta;6;MARANHÃO
2022/09;Floresta;1578;MATO GROSSO
2022/09;Floresta;1160;PARÁ
2022/09;Floresta;353;RONDÔNIA
2022/09;Floresta;11;RORAIMA
2022/09;Outros;104;AMAPÁ
2022/09;Outros;89;AMAZONAS
2022/09;Outros;25;MARANHÃO
2022/09;Outros;242;MATO GROSSO
2022/09;Outros;428;PARÁ
2022/09;Outros;262;RONDÔNIA
2022/09;Outros;18;RORAIMA
2022/09;Outros;9;TOCANTINS
2022/09;Vegetacao Secundaria;285;ACRE
2022/09;Vegetacao Secundaria;9;AMAPÁ
2022/09;Vegetacao Secundaria;488;AMAZONAS
2022/09;Vegetacao Secundaria;138;MARANHÃO
2022/09;Vegetacao Secundaria;234;MATO GROSSO
2022/09;Vegetacao Secundaria;868;PARÁ
2022/09;Vegetacao Secundaria;236;RONDÔNIA
2022/09;Vegetacao Secundaria;5;RORAIMA
2022/09;Vegetacao Secundaria;7;TOCANTINS
2022/10;Desmatamento Consolidado;191;ACRE
2022/10;Desmatamento Consolidado;134;AMAPÁ
2022/10;Desmatamento Consolidado;313;AMAZONAS
2022/10;Desmatamento Consolidado;770;MARANHÃO
2022/10;Desmatamento Consolidado;362;MATO GROSSO
2022/10;Desmatamento Consolidado;2354;PARÁ
2022/10;Desmatamento Consolidado;178;RONDÔNIA
2022/10;Desmatamento Consolidado;24;RORAIMA
2022/10;Desmatamento Consolidado;62;TOCANTINS
2022/10;Desmatamento Recente;795;ACRE
2022/10;Desmatamento Recente;88;AMAPÁ
2022/10;Desmatamento Recente;819;AMAZONAS
2022/10;Desmatamento Recente;195;MARANHÃO
2022/10;Desmatamento Recente;356;MATO GROSSO
2022/10;Desmatamento Recente;3544;PARÁ
2022/10;Desmatamento Recente;461;RONDÔNIA
2022/10;Desmatamento Recente;60;RORAIMA
2022/10;Desmatamento Recente;11;TOCANTINS
2022/10;Floresta;92;ACRE
2022/10;Floresta;117;AMAPÁ
2022/10;Floresta;198;AMAZONAS
2022/10;Floresta;13;MARANHÃO
2022/10;Floresta;91;MATO GROSSO
2022/10;Floresta;418;PARÁ
2022/10;Floresta;43;RONDÔNIA
2022/10;Floresta;3;RORAIMA
2022/10;Floresta;1;TOCANTINS
2022/10;Outros;238;AMAPÁ
2022/10;Outros;25;AMAZONAS
2022/10;Outros;50;MARANHÃO
2022/10;Outros;56;MATO GROSSO
2022/10;Outros;278;PARÁ
2022/10;Outros;86;RONDÔNIA
2022/10;Outros;19;RORAIMA
2022/10;Outros;5;TOCANTINS
2022/10;Vegetacao Secundaria;49;ACRE
2022/10;Vegetacao Secundaria;35;AMAPÁ
2022/10;Vegetacao Secundaria;148;AMAZONAS
2022/10;Vegetacao Secundaria;241;MARANHÃO
2022/10;Vegetacao Secundaria;37;MATO GROSSO
2022/10;Vegetacao Secundaria;875;PARÁ
2022/10;Vegetacao Secundaria;54;RONDÔNIA
2022/10;Vegetacao Secundaria;11;RORAIMA
2022/10;Vegetacao Secundaria;10;TOCANTINS
2022/11;Desmatamento Consolidado;223;ACRE
2022/11;Desmatamento Consolidado;12;AMAPÁ
2022/11;Desmatamento Consolidado;231;AMAZONAS
2022/11;Desmatamento Consolidado;831;MARANHÃO
2022/11;Desmatamento Consolidado;482;MATO GROSSO
2022/11;Desmatamento Consolidado;1827;PARÁ
2022/11;Desmatamento Consolidado;763;RONDÔNIA
2022/11;Desmatamento Consolidado;26;RORAIMA
2022/11;Desmatamento Consolidado;28;TOCANTINS
2022/11;Desmatamento Recente;137;ACRE
2022/11;Desmatamento Recente;1;AMAPÁ
2022/11;Desmatamento Recente;220;AMAZONAS
2022/11;Desmatamento Recente;23;MARANHÃO
2022/11;Desmatamento Recente;213;MATO GROSSO
2022/11;Desmatamento Recente;352;PARÁ
2022/11;Desmatamento Recente;276;RONDÔNIA
2022/11;Desmatamento Recente;9;RORAIMA
2022/11;Floresta;479;ACRE
2022/11;Floresta;52;AMAPÁ
2022/11;Floresta;375;AMAZONAS
2022/11;Floresta;110;MARANHÃO
2022/11;Floresta;347;MATO GROSSO
2022/11;Floresta;1215;PARÁ
2022/11;Floresta;468;RONDÔNIA
2022/11;Floresta;42;RORAIMA
2022/11;Floresta;5;TOCANTINS
2022/11;Outros;6;ACRE
2022/11;Outros;43;AMAPÁ
2022/11;Outros;33;AMAZONAS
2022/11;Outros;73;MARANHÃO
2022/11;Outros;102;MATO GROSSO
2022/11;Outros;187;PARÁ
2022/11;Outros;111;RONDÔNIA
2022/11;Outros;34;RORAIMA
2022/11;Outros;4;TOCANTINS
2022/11;Vegetacao Secundaria;78;ACRE
2022/11;Vegetacao Secundaria;9;AMAPÁ
2022/11;Vegetacao Secundaria;102;AMAZONAS
2022/11;Vegetacao Secundaria;366;MARANHÃO
2022/11;Vegetacao Secundaria;72;MATO GROSSO
2022/11;Vegetacao Secundaria;926;PARÁ
2022/11;Vegetacao Secundaria;147;RONDÔNIA
2022/11;Vegetacao Secundaria;17;RORAIMA
2022/11;Vegetacao Secundaria;5;TOCANTINS
2022/12;Desmatamento Consolidado;6;ACRE
2022/12;Desmatamento Consolidado;38;AMAZONAS
2022/12;Desmatamento Consolidado;332;MARANHÃO
2022/12;Desmatamento Consolidado;79;MATO GROSSO
2022/12;Desmatamento Consolidado;645;PARÁ
2022/12;Desmatamento Consolidado;31;RONDÔNIA
2022/12;Desmatamento Consolidado;16;RORAIMA
2022/12;Desmatamento Consolidado;13;TOCANTINS
2022/12;Desmatamento Recente;32;AMAZONAS
2022/12;Desmatamento Recente;14;MARANHÃO
2022/12;Desmatamento Recente;42;MATO GROSSO
2022/12;Desmatamento Recente;123;PARÁ
2022/12;Desmatamento Recente;17;RONDÔNIA
2022/12;Desmatamento Recente;16;RORAIMA
2022/12;Desmatamento Recente;1;TOCANTINS
2022/12;Floresta;3;ACRE
2022/12;Floresta;2;AMAPÁ
2022/12;Floresta;63;AMAZONAS
2022/12;Floresta;67;MARANHÃO
2022/12;Floresta;21;MATO GROSSO
2022/12;Floresta;330;PARÁ
2022/12;Floresta;15;RONDÔNIA
2022/12;Floresta;52;RORAIMA
2022/12;Floresta;2;TOCANTINS
2022/12;Outros;1;AMAPÁ
2022/12;Outros;13;AMAZONAS
2022/12;Outros;38;MARANHÃO
2022/12;Outros;8;MATO GROSSO
2022/12;Outros;64;PARÁ
2022/12;Outros;2;RONDÔNIA
2022/12;Outros;109;RORAIMA
2022/12;Outros;1;TOCANTINS
2022/12;Vegetacao Secundaria;3;AMAPÁ
2022/12;Vegetacao Secundaria;36;AMAZONAS
2022/12;Vegetacao Secundaria;179;MARANHÃO
2022/12;Vegetacao Secundaria;9;MATO GROSSO
2022/12;Vegetacao Secundaria;310;PARÁ
2022/12;Vegetacao Secundaria;5;RONDÔNIA
2022/12;Vegetacao Secundaria;14;RORAIMA
2022/12;Vegetacao Secundaria;4;TOCANTINS
2021/01;Desmatamento Consolidado;1;ACRE
2021/01;Desmatamento Consolidado;7;AMAZONAS
2021/01;Desmatamento Consolidado;59;MARANHÃO
2021/01;Desmatamento Consolidado;195;MATO GROSSO
2021/01;Desmatamento Consolidado;124;PARÁ
2021/01;Desmatamento Consolidado;20;RONDÔNIA
2021/01;Desmatamento Consolidado;6;RORAIMA
2021/01;Desmatamento Consolidado;1;TOCANTINS
2021/01;Desmatamento Recente;4;ACRE
2021/01;Desmatamento Recente;16;AMAZONAS
2021/01;Desmatamento Recente;12;MARANHÃO
2021/01;Desmatamento Recente;73;MATO GROSSO
2021/01;Desmatamento Recente;73;PARÁ
2021/01;Desmatamento Recente;23;RONDÔNIA
2021/01;Desmatamento Recente;5;RORAIMA
2021/01;Floresta;3;AMAZONAS
2021/01;Floresta;6;MATO GROSSO
2021/01;Floresta;5;PARÁ
2021/01;Floresta;5;RORAIMA
2021/01;Outros;2;AMAZONAS
2021/01;Outros;9;MARANHÃO
2021/01;Outros;15;MATO GROSSO
2021/01;Outros;13;PARÁ
2021/01;Outros;47;RORAIMA
